,company_1,company_2
0,444859102,529771107
1,345370860,69331C108
2,31100100,690768403
3,382550101,690768403
4,594918104,871503108
5,518439104,886547108
6,57636Q104,744320102
7,74144T108,75887109
8,25816109,518439104
9,438516106,911312106
10,172967424,518439104
11,369550108,46625H100
12,690768403,G7945M107
13,548661107,918204108
14,7903107,79466L302
15,46625H100,97023105
16,29364G103,86764P109
17,21036P108,235811106
18,382550101,577081102
19,115637209,444859102
20,35906A108,984121103
21,143658300,745867101
22,432589109,46625H100
23,101121101,92276F100
24,61945C103,G7S00T104
25,124857202,92553P201
26,231021106,37045V100
27,28336L109,629377508
28,209115104,438516106
29,46625H100,744320102
30,345370860,650111107
31,191216100,896945201
32,48666K109,552848103
33,3.07E+108,571748102
34,461202103,88033G407
35,111320107,21441100
36,25816109,984121103
37,418056107,855030102
38,438516106,743315103
39,37833100,666807102
40,46284V101,52769106
41,156700106,88033G407
42,345370860,G24140108
43,37045V100,745867101
44,125581108,278642103
45,111320107,594918104
46,156700106,744320102
47,37045V100,540424108
48,744320102,75886F107
49,80004C101,806857108
50,125581108,12686C109
51,23135106,85590A401
52,00130H105,60505104
53,44919P508,518439104
54,26441C204,38222105
55,124857202,60505104
56,315616102,432589109
57,458140100,52769106
58,438516106,744320102
59,857477103,G24140108
60,25816109,97023105
61,336433107,886547108
62,38222105,461202103
63,526057104,872375100
64,883556102,92532F100
65,09062X103,816851109
66,48666K109,548661107
67,502424104,756577102
68,124857202,666807102
69,55921100,620097105
70,594918104,64110L106
71,30212P303,64110L106
72,25816109,458140100
73,48666K109,887317303
74,37833100,461202103
75,518439104,85590A401
76,382550101,494368103
77,86764P109,918204108
78,871503108,G7945M107
79,20030N101,53774105
80,20030N101,20030N200
81,52769106,55921100
82,254687106,855244109
83,548661107,75887109
84,708160106,929042109
85,577081102,85590A401
86,37045V100,62010A105
87,277461109,883556102
88,111320107,80004C101
89,39483102,631103108
90,37045V100,666807102
91,30212P303,44919P508
92,47102X105,552848103
93,209115104,46625H100
94,594918104,911312106
95,101121101,540424108
96,00130H105,87901J105
97,336433107,911905107
98,39483102,666807102
99,418056107,G2554F113
100,676220106,88033G407
101,708160106,871503108
102,156700106,345370860
103,745867101,G24140108
104,743315103,751212101
105,620076307,883556102
106,254687106,97023105
107,G2554F113,G7S00T104
108,1547108,65473P105
109,22160K105,594918104
110,418056107,79466L302
111,191216100,29364G103
112,432589109,441060100
113,231021106,62010A105
114,552848103,88033G407
115,172967424,20030N101
116,518439104,855244109
117,38222105,631103108
118,811054402,811065101
119,124857202,48666K109
120,26441C204,345370860
121,20030N101,459506101
122,25816109,37045V100
123,345370860,90130A101
124,21441100,64110D104
125,57636Q104,629491101
126,00130H105,02503Y103
127,438516106,46625H100
128,39483102,816851109
129,611742107,97023105
130,12686C109,571748102
131,191216100,44919P508
132,25816109,85590A401
133,44919P508,459506101
134,126650100,620076307
135,00724F101,482480100
136,747525103,871503108
137,690768403,71813109
138,64110D104,80004C101
139,278642103,461202103
140,666807102,744320102
141,172967424,20030N200
142,278642103,650111107
143,278642103,345370860
144,88732J207,984121103
145,254687106,60505104
146,418056107,46284V101
147,529771107,868536103
148,210371100,74144T108
149,708160106,855244109
150,278642103,38222105
151,48666K109,747525103
152,345370860,518439104
153,482480100,64110D104
154,690768403,G7S00T104
155,191216100,231021106
156,22160K105,458140100
157,191216100,384637104
158,278642103,458140100
159,25271C102,540424108
160,518439104,540424108
161,629491101,87901J105
162,23135106,92220P105
163,444859102,G7S00T104
164,12686C109,G7945M107
165,191216100,30212P303
166,494368103,57636Q104
167,382550101,71813109
168,369550108,432589109
169,21441100,92220P105
170,254687106,37833100
171,432589109,60505104
172,529771107,743315103
173,00724F101,G7945M107
174,345838106,G2554F113
175,1547108,382550101
176,30212P303,896945201
177,382550101,918204108
178,418056107,75887109
179,382550101,629377508
180,25816109,62010A105
181,12686C109,418056107
182,277461109,G2554F113
183,00724F101,278642103
184,156700106,912909108
185,594918104,G7945M107
