,company_1,company_2
0,194162103,524901105
1,384802104,858912108
2,524901105,580645109
3,608554101,879664100
4,125896100,724479100
5,370334104,847560109
6,13817101,806605101
7,00817Y108,143130102
8,219350105,64058100
9,25537101,460146103
10,959802109,G1151C101
11,524660107,81437105
12,717081103,969457100
13,171232101,571903202
14,452308109,G0408V102
15,842587107,949746101
16,165167107,31428X106
17,166764100,655844108
18,20825C104,369604103
19,81437105,99724106
20,171232101,744573106
21,17275R102,637640103
22,1765106,713448108
23,30231G102,58933Y105
24,18683K101,493267108
25,126408103,693475105
26,13817101,40434L105
27,2.82E+112,30249U101
28,237194105,320517105
29,172908105,701094104
30,58405U102,741503403
31,55616P104,92343V104
32,478160104,59156R108
33,00206R102,55616P104
34,00206R102,783549108
35,207142308,958102105
36,00971T101,68389X105
37,126408103,79299X952
38,14149Y108,19122T109
39,30231G102,806605101
40,512807108,595112103
41,609207105,651229106
42,1204106,655844108
43,14149Y108,244199105
44,05329W102,278865100
45,617446448,92343V104
46,165167107,907818108
47,1765106,929160109
48,59156R108,G491BT108
49,86732Y109,983919101
50,149123101,247361108
51,61166W101,863667101
52,03076C106,294429105
53,12673P105,485865109
54,32654105,983919101
55,269246401,91324P102
56,693506107,H1467J104
57,244199105,773903109
58,316773100,56585A102
59,20825C104,913017109
60,696429307,854502101
61,24906P109,696429307
62,219350105,30161N101
63,237194105,370334104
64,219350105,546347105
65,412822108,G0408V102
66,00817Y108,98419M100
67,25179M103,57224107
68,427866108,724479100
69,263534109,609207105
70,580037109,74733V100
71,53015103,59156R108
72,30303M102,40434L105
73,26875P101,682680103
74,26874784,313400301
75,14170T101,G0408V102
76,26874784,717081103
77,205363104,244199105
78,369604103,891906109
79,571903202,931142103
80,902973304,98389B100
81,580645109,761713106
82,478366107,959802109
83,166764100,949746101
84,713448108,G1151C101
85,117043109,847560109
86,263534109,G29183103
87,291011104,343412102
88,40414L109,74340W103
89,654086107,G0408V102
90,219350105,337932107
91,370334104,580645109
92,1204106,G29183103
93,67383109,88579Y101
94,205887102,54303102
95,166764100,655664100
96,55616P104,609207105
97,20825C104,24702R101
98,26874784,26884L109
99,17275R102,786514208
100,117043109,460146103
101,501044101,583334107
102,278865100,589433101
103,670008101,801056102
104,609207105,949746101
105,278865100,761713106
106,117043109,126408103
107,412822108,466313103
108,37247D106,42809H107
109,131347106,25179M103
110,31428X106,H84989104
111,32511107,35671D857
112,337738108,91324P102
