,CUSIP,color
0,552848103,Blue
1,75887109,Blue
2,86764P109,Blue
3,125581108,Blue
4,369550108,Blue
5,3.07E+108,Blue
6,126650100,Blue
7,712704105,Blue
8,52769106,Blue
9,H2906T109,Blue
10,485170302,Blue
11,47102X105,Blue
12,535678106,Blue
13,444859102,Blue
14,594918104,Blue
15,15351109,Blue
16,28336L109,Blue
17,216831107,Blue
18,887317303,Blue
19,857477103,Blue
20,459506101,Blue
21,97382A200,Blue
22,872375100,Blue
23,69331C108,Blue
24,80004C101,Blue
25,518439104,Blue
26,124857202,Blue
27,631103108,Blue
28,172967424,Blue
29,247916208,Blue
30,676220106,Blue
31,432589109,Blue
32,61945C103,Blue
33,37604105,Blue
34,871503108,Blue
35,111320107,Blue
36,60505104,Blue
37,254709108,Blue
38,2896207,Blue
39,48020T101,Blue
40,268648102,Blue
41,459902102,Blue
42,45822P105,Blue
43,384637104,Blue
44,25816109,Blue
45,44919P508,Blue
46,209115104,Blue
47,966837106,Blue
48,87901J105,Blue
49,345370860,Blue
50,413086109,Blue
51,210371100,Blue
52,382550101,Blue
53,38222105,Blue
54,26441C204,Blue
55,855244109,Blue
56,93671105,Blue
57,90130A101,Blue
58,57636Q104,Blue
59,629491101,Blue
60,620076307,Blue
61,53774105,Blue
62,20030N101,Blue
63,20030N200,Blue
64,25271C102,Blue
65,156700106,Blue
66,46284V101,Blue
67,418056107,Blue
68,12686C109,Blue
69,115637209,Blue
70,620097105,Blue
71,88732J207,Blue
72,G2554F113,Blue
73,883556102,Blue
74,191216100,Blue
75,23918K108,Blue
76,235811106,Blue
77,37045V100,Blue
78,62010A105,Blue
79,577081102,Blue
80,92553P201,Blue
81,278642103,Blue
82,458140100,Blue
83,744320102,Blue
84,1547108,Blue
85,611742107,Blue
86,97023105,Blue
87,315616102,Blue
88,92532F100,Blue
89,756577102,Blue
90,461202103,Blue
91,30212P303,Blue
92,277461109,Blue
93,00724F101,Blue
94,G7S00T104,Blue
95,882508104,Blue
96,693656100,Blue
97,21036P108,Blue
98,879868107,Blue
99,09062X103,Blue
100,494368103,Blue
101,G7945M107,Blue
102,88033G407,Blue
103,143658300,Blue
104,650111107,Blue
105,75896100,Blue
106,36467W109,Blue
107,708160106,Blue
108,64110L106,Blue
109,743315103,Blue
110,855030102,Blue
111,984121103,Blue
112,690768403,Blue
113,71813109,Blue
114,65473P105,Blue
115,713291102,Blue
116,912909108,Blue
117,336433107,Blue
118,254687106,Blue
119,918204108,Blue
120,502424104,Blue
121,92220P105,Blue
122,55261F104,Blue
123,92839U107,Blue
124,38141G104,Blue
125,205862402,Blue
126,26375105,Blue
127,729251108,Blue
128,548661107,Blue
129,896945201,Blue
130,747525103,Blue
131,441060100,Blue
132,00130H105,Blue
133,345838106,Blue
134,482480100,Blue
135,39483102,Blue
136,629377508,Blue
137,35906A108,Blue
138,666807102,Blue
139,811054402,Blue
140,224399105,Blue
141,751212101,Blue
142,231021106,Blue
143,29364G103,Blue
144,438516106,Blue
145,868536103,Blue
146,79466L302,Blue
147,48666K109,Blue
148,929042109,Blue
149,828806109,Blue
150,G24140108,Blue
151,911312106,Blue
152,189754104,Blue
153,30040W108,Blue
154,101121101,Blue
155,816851109,Blue
156,46625H100,Blue
157,111412706,Blue
158,205638109,Blue
159,370023103,Blue
160,778296103,Blue
161,911905107,Blue
162,23135106,Blue
163,22160K105,Blue
164,21441100,Blue
165,92276F100,Blue
166,745867101,Blue
167,571748102,Blue
168,49446R109,Blue
169,02503Y103,Blue
170,540424108,Blue
171,G3921A100,Blue
172,806857108,Blue
173,85590A401,Blue
174,222862104,Blue
175,527288104,Blue
176,64110D104,Blue
177,37833100,Blue
178,526057104,Blue
179,469814107,Blue
180,811065101,Blue
181,75886F107,Blue
182,886547108,Blue
183,790849103,Blue
184,G6359F103,Blue
185,55921100,Blue
186,74144T108,Blue
187,31100100,Blue
188,7903107,Blue
189,826552101,Blue
190,529771107,Blue
191,595017104,Blue
192,941848103,Blue
