,CUSIP,color
0,845467109,Red
1,783549108,Red
2,25179M103,Red
3,674599105,Red
4,12541W209,Red
5,983134107,Red
6,552848103,Blue
7,256677105,Red
8,75887109,Blue
9,493267108,Red
10,748356102,Red
11,86764P109,Blue
12,125581108,Blue
13,343412102,Red
14,109043109,Red
15,2824100,Red
16,369550108,Blue
17,125896100,Red
18,3.07E+108,Blue
19,126650100,Blue
20,60871R209,Red
21,156782104,Red
22,166764100,Red
23,81437105,Red
24,881609101,Red
25,712704105,Blue
26,52769106,Blue
27,H2906T109,Blue
28,703395103,Red
29,670346105,Red
30,208464107,Red
31,26874784,Red
32,12572Q105,Red
33,485170302,Blue
34,879664100,Red
35,58498106,Red
36,23608102,Red
37,416515104,Red
38,87161C501,Red
39,184502102,Red
40,7591EP100,Red
41,23317H102,Red
42,291011104,Red
43,47102X105,Blue
44,256746108,Red
45,535678106,Blue
46,421933102,Red
47,723484101,Red
48,617446448,Red
49,487836108,Red
50,444859102,Blue
51,594918104,Blue
52,101137107,Red
53,452308109,Red
54,665859104,Red
55,15351109,Blue
56,98389B100,Red
57,654106103,Red
58,364760108,Red
59,28336L109,Blue
60,260543103,Red
61,216831107,Blue
62,25746U109,Red
63,887317303,Blue
64,125509109,Red
65,14170T101,Red
66,857477103,Blue
67,34354P105,Red
68,824348106,Red
69,842587107,Red
70,801056102,Red
71,67383109,Red
72,09247X101,Red
73,440452100,Red
74,884315102,Red
75,883203101,Red
76,482584109,Red
77,812350106,Red
78,459506101,Blue
79,460690100,Red
80,73730103,Red
81,14149Y108,Red
82,G29183103,Red
83,54937107,Red
84,97382A200,Blue
85,9.23E+106,Red
86,755111507,Red
87,375558103,Red
88,80589M102,Red
89,872375100,Blue
90,69331C108,Blue
91,446150104,Red
92,80004C101,Blue
93,518439104,Blue
94,124857202,Blue
95,631103108,Blue
96,172967424,Blue
97,247916208,Blue
98,110122108,Red
99,582839106,Red
100,25470F104,Red
101,676220106,Blue
102,6.39E+112,Red
103,382388106,Red
104,244199105,Red
105,963320106,Red
106,723787107,Red
107,432589109,Blue
108,554382101,Red
109,337932107,Red
110,544147101,Red
111,406216101,Red
112,704549203,Red
113,61945C103,Blue
114,2.61E+113,Red
115,37604105,Blue
116,871503108,Blue
117,53015103,Red
118,03027X100,Red
119,302491303,Red
120,172908105,Red
121,713448108,Red
122,58933Y105,Red
123,693718108,Red
124,111320107,Blue
125,263534109,Red
126,60505104,Blue
127,194162103,Red
128,219350105,Red
129,913017109,Red
130,32511107,Red
131,N53745100,Red
132,254709108,Blue
133,2896207,Blue
134,205887102,Red
135,48020T101,Blue
136,25537101,Red
137,311900104,Red
138,268648102,Blue
139,320517105,Red
140,313400301,Red
141,459902102,Blue
142,45822P105,Blue
143,384637104,Blue
144,626717102,Red
145,25816109,Blue
146,G491BT108,Red
147,44919P508,Blue
148,277432100,Red
149,209115104,Blue
150,654086107,Red
151,966837106,Blue
152,87901J105,Blue
153,345370860,Blue
154,233331107,Red
155,413086109,Blue
156,210371100,Blue
157,30161N101,Red
158,382550101,Blue
159,251893103,Red
160,200340107,Red
161,38222105,Blue
162,171232101,Red
163,808513105,Red
164,743263105,Red
165,26441C204,Blue
166,126408103,Red
167,48203R104,Red
168,855244109,Blue
169,93671105,Blue
170,90130A101,Blue
171,525327102,Red
172,57636Q104,Blue
173,629491101,Blue
174,620076307,Blue
175,863667101,Red
176,724479100,Red
177,931142103,Red
178,53774105,Blue
179,20030N101,Blue
180,20030N200,Blue
181,25271C102,Blue
182,156700106,Blue
183,22822V101,Red
184,69351T106,Red
185,24702R101,Red
186,44209104,Red
187,909214306,Red
188,69370C100,Red
189,46284V101,Blue
190,576206106,Red
191,744573106,Red
192,65339F101,Red
193,418056107,Blue
194,12686C109,Blue
195,316773100,Red
196,500255104,Red
197,115637209,Blue
198,589433101,Red
199,61166W101,Red
200,247361108,Red
201,247361702,Red
202,962166104,Red
203,620097105,Blue
204,31620M106,Red
205,02209S103,Red
206,13342B105,Red
207,88732J207,Blue
208,G98290102,Red
209,302130109,Red
210,G2554F113,Blue
211,88076W103,Red
212,H84989104,Red
213,883556102,Blue
214,58405U102,Red
215,786514208,Red
216,437076102,Red
217,191216100,Blue
218,655844108,Red
219,23918K108,Blue
220,235811106,Blue
221,37045V100,Blue
222,62010A105,Blue
223,577081102,Blue
224,92553P201,Blue
225,131347106,Red
226,278642103,Blue
227,458140100,Blue
228,744320102,Blue
229,1547108,Blue
230,99724106,Red
231,611742107,Blue
232,97023105,Blue
233,315616102,Blue
234,806605101,Red
235,92532F100,Blue
236,404119109,Red
237,756577102,Blue
238,34988V106,Red
239,55616P104,Red
240,86516101,Red
241,370334104,Red
242,94106L109,Red
243,461202103,Blue
244,984332106,Red
245,64058100,Red
246,9363102,Red
247,9158106,Red
248,30212P303,Blue
249,00817Y108,Red
250,23331A109,Red
251,02076X102,Red
252,460146103,Red
253,427866108,Red
254,277461109,Blue
255,00724F101,Blue
256,44107P104,Red
257,92826C839,Red
258,307000109,Red
259,G7S00T104,Blue
260,143130102,Red
261,888339207,Red
262,74005P104,Red
263,882508104,Blue
264,46120E602,Red
265,651229106,Red
266,693656100,Blue
267,717081103,Red
268,1055102,Red
269,21036P108,Blue
270,212485106,Red
271,8.76E+110,Red
272,337738108,Red
273,879868107,Blue
274,539830109,Red
275,09062X103,Blue
276,73930R102,Red
277,53611109,Red
278,494368103,Blue
279,651639106,Red
280,92343V104,Red
281,G7945M107,Blue
282,205363104,Red
283,88033G407,Blue
284,143658300,Blue
285,983919101,Red
286,650111107,Blue
287,237194105,Red
288,149123101,Red
289,G6518L108,Red
290,248019101,Red
291,75896100,Blue
292,36467W109,Blue
293,36752103,Red
294,742718109,Red
295,285512109,Red
296,708160106,Blue
297,242370203,Red
298,98956P102,Red
299,125269100,Red
300,833034101,Red
301,847560109,Red
302,64110L106,Blue
303,G1151C101,Red
304,773903109,Red
305,26817G300,Red
306,31162100,Red
307,501797104,Red
308,743315103,Blue
309,855030102,Blue
310,17275R102,Red
311,984121103,Blue
312,74251V102,Red
313,690768403,Blue
314,71813109,Blue
315,580135101,Red
316,760759100,Red
317,65473P105,Blue
318,713291102,Blue
319,172062101,Red
320,478366107,Red
321,959802109,Red
322,79299X952,Red
323,8.94E+113,Red
324,05329W102,Red
325,615369105,Red
326,03748R101,Red
327,281020107,Red
328,H8817H100,Red
329,91529Y106,Red
330,912909108,Blue
331,524901105,Red
332,384802104,Red
333,37247D106,Red
334,571903202,Red
335,336433107,Blue
336,04621X108,Red
337,254687106,Blue
338,30303M102,Red
339,189054109,Red
340,918204108,Blue
341,609207105,Red
342,502424104,Blue
343,443683107,Red
344,92220P105,Blue
345,57772K101,Red
346,55261F104,Blue
347,478160104,Red
348,40434L105,Red
349,192446102,Red
350,50540R409,Red
351,56585A102,Red
352,92839U107,Blue
353,369604103,Red
354,38141G104,Blue
355,30231G102,Red
356,423074103,Red
357,974280109,Red
358,205862402,Blue
359,682680103,Red
360,867914103,Red
361,26375105,Blue
362,729251108,Blue
363,485865109,Red
364,548661107,Blue
365,53332102,Red
366,12504L109,Red
367,00971T101,Red
368,896945201,Blue
369,747525103,Blue
370,969457100,Red
371,269246401,Red
372,20002101,Red
373,257867101,Red
374,761713106,Red
375,89302103,Red
376,441060100,Blue
377,580037109,Red
378,169656105,Red
379,00130H105,Blue
380,421924309,Red
381,95040Q104,Red
382,949746101,Red
383,92939U106,Red
384,902494103,Red
385,345838106,Blue
386,574599106,Red
387,482480100,Blue
388,880779103,Red
389,6.29E+112,Red
390,891027104,Red
391,7.48E+106,Red
392,580645109,Red
393,776696106,Red
394,532457108,Red
395,39483102,Blue
396,629377508,Blue
397,57224107,Red
398,832696405,Red
399,902973304,Red
400,35906A108,Blue
401,18683K101,Red
402,30249U101,Red
